USA,Japan,German,France,Italy,UK,Canada,USApop,Jappop,Gerpop,UKpop,Frapop,Itapop,Canpop
10252347,4887519,1943143,1362247,1143828,1658116,744773,282,126,81,58,58,56,30
10581822,4303542,1944089,1376453,1167002,1638763,739005,285,127,81,59,59,59,30
10936418,4115115,2068718,1494354,1270770,1780020,760644,288,127,81,59,59,57,31
11458246,4445659,2496032,1840409,1574085,2051011,895575,290,127,81,59,60,57,31
12213730,4815168,2809310,2115834,1803305,2412133,1026680,293,127,81,59,60,57,31
13036637,4755410,2845731,2196071,1857478,2532804,1173158,296,127,81,60,60,58,32
13814609,4530376,2992043,2318474,1947819,2706081,1319333,298,127,81,60,61,58,32
14451860,4515263,3421053,2657076,2210179,3093582,1468822,301,127,81,61,62,58,32
14712845,5037908,3730166,2918490,2398945,2921613,1552932,304,127,80,62,62,59,33
14448932,5231383,3397586,2690060,2191109,2412317,1374624,307,125,80,62,62,59,33
14992052,5700098,3396354,2642609,2134017,2481579,1617266,309,127,80,62,62,60,34
15542582,6157459,3744408,2861408,2291991,2659882,1792832,311,127,80,63,63,60,34
16197007,6203213,3527344,2683825,2087077,2704017,1828685,314,127,80,63,63,60,34
16784851,5155717,3732743,2811077,2141315,2783251,1847206,316,127,81,64,63,61,35
17527258,4850413,3883920,2852165,2159133,3065521,1803534,318,127,81,65,64,60,35
18238301,4389475,3356235,2438207,1835899,2932784,1556128,320,127,82,65,64,61,36
18745075,4922538,3467498,2471285,1875797,2693247,1528244,323,127,82,65,64,61,36
19542980,4866864,3682602,2595151,1961796,2662484,1649518,325,127,83,66,65,65,37
20611861,4954806,3963767,2787863,2091544,2857316,1721905,327,127,83,66,65,60,37
21433226,5082465,3963767,2787863,2091544,2857316,1721905,328,126,83,67,65,60,38
